route_id,service_id,trip_id,trip_headsign,shape_id
V4-115-29,2531,4360517,Empalme,25
V4-29-115,2531,4360275,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360524,Empalme,25
V4-29-115,2531,4360282,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360531,Empalme,25
V4-29-115,2531,4360289,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360538,Empalme,25
V4-29-115,2531,4360296,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360545,Empalme,25
V4-29-115,2531,4360303,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360552,Empalme,25
V4-29-115,2531,4360310,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360559,Empalme,25
V4-29-115,2531,4360317,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360566,Empalme,25
V4-29-115,2531,4360324,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360573,Empalme,25
V4-29-115,2531,4360331,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360580,Empalme,25
V4-29-115,2531,4360338,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360587,Empalme,25
V4-29-115,2531,4360345,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360594,Empalme,25
V4-29-115,2531,4360352,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360601,Empalme,25
V4-29-115,2531,4360359,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360608,Empalme,25
V4-29-115,2531,4360366,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360615,Empalme,25
V4-29-115,2531,4360373,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360621,Empalme,25
V4-29-115,2531,4360380,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360628,Empalme,25
V4-29-115,2531,4360391,Ll. Llarga - Terramelar,5
V4-115-98,2531,4360632,Dr. Lluch,5
V5-69-123,2531,4359958,Marítim,7
V5-66-69,2531,4359525,Alameda,44
V5-69-123,2531,4359959,Marítim,7
V5-123-182,2531,4359526,Aeroport,44
V5-69-123,2531,4359960,Marítim,7
V5-66-69,2531,4359527,Alameda,44
V5-69-123,2531,4359961,Marítim,7
V5-66-69,2531,4359528,Alameda,44
V5-182-123,2531,4359962,Marítim,7
V5-123-182,2531,4359529,Aeroport,44
V5-69-123,2531,4359963,Marítim,7
V5-66-69,2531,4359530,Alameda,44
V5-182-123,2531,4359964,Marítim,7
V5-123-182,2531,4359531,Aeroport,44
V5-182-123,2531,4359965,Marítim,7
V5-123-182,2531,4359532,Aeroport,44
V5-182-123,2531,4359966,Marítim,7
V5-66-69,2531,4359533,Alameda,44
V5-182-123,2531,4359967,Marítim,7
V5-123-182,2531,4359534,Aeroport,44
V5-182-123,2531,4359968,Marítim,7
V5-123-182,2531,4359535,Aeroport,44
V5-182-123,2531,4359969,Marítim,7
V5-123-182,2531,4359536,Aeroport,44
V5-182-123,2531,4359970,Marítim,7
V5-123-182,2531,4359537,Aeroport,44
V5-182-123,2531,4359971,Marítim,7
V5-123-182,2531,4359538,Aeroport,44
V5-182-123,2531,4359972,Marítim,7
V5-123-182,2531,4359539,Aeroport,44
V5-182-123,2531,4359973,Marítim,7
V5-123-182,2531,4359540,Aeroport,44
V5-182-123,2531,4359974,Marítim,7
V5-123-182,2531,4359541,Aeroport,44
V5-182-123,2531,4359975,Marítim,7
V5-123-182,2531,4359542,Aeroport,44
V5-182-123,2531,4359976,Marítim,7
V5-123-182,2531,4359543,Aeroport,44
V5-182-123,2531,4359977,Marítim,7
V5-123-182,2531,4359544,Aeroport,44
V5-182-123,2531,4359978,Marítim,7
V5-123-182,2531,4359545,Aeroport,44
V5-182-123,2531,4359979,Marítim,7
V5-123-182,2531,4359546,Aeroport,44
V5-182-123,2531,4359980,Marítim,7
V5-123-182,2531,4359547,Aeroport,44
V5-182-123,2531,4359981,Marítim,7
V5-123-182,2531,4359548,Aeroport,44
V5-182-123,2531,4359982,Marítim,7
V5-123-182,2531,4359549,Aeroport,44
V5-182-123,2531,4359983,Marítim,7
V5-123-182,2531,4359550,Aeroport,44
V5-182-123,2531,4359984,Marítim,7
V5-123-182,2531,4359551,Aeroport,44
V5-182-123,2531,4359985,Marítim,7
V5-123-182,2531,4359552,Aeroport,44
V5-182-123,2531,4359986,Marítim,7
V5-123-182,2531,4359553,Aeroport,44
V5-182-123,2531,4359987,Marítim,7
V5-123-182,2531,4359554,Aeroport,44
V5-182-123,2531,4359988,Marítim,7
